,Name,Sex,Event,Equipment,Age,AgeClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Wilks,McCulloch,Glossbrenner,IPFPoints,Tested,Country,Federation,Date,MeetCountry,MeetState,MeetName
674206,Dane Roach,M,SBD,Raw,25.5,24-34,MR-O,81.2,83,157.5,167.5,175.0,,175.0,117.5,122.5,127.5,,127.5,205.0,220.0,227.5,,227.5,530.0,3,358.49,358.49,346.2,525.08,Yes,,USAPL,2017-12-02,USA,MI,Michigan State Meet
507347,Cody Robert,M,SBD,Single-ply,,,Boys,141.52,124.7+,,,,,204.12,,,,,136.08,,,,,183.7,523.9,7,292.29,292.29,276.78,345.78,Yes,,THSPA,2019-02-16,USA,TX,Rice Consolidated Booster Club Meet
1054061,Satu Luoto,F,SBD,Raw,46.5,45-49,Masters 1,62.76,63,122.5,127.5,-132.5,,127.5,82.5,85.0,-87.5,,85.0,125.0,130.0,-132.5,,130.0,342.5,4,368.9,393.98,325.76,593.66,Yes,Finland,IPF,2016-06-19,USA,TX,World Classic Powerlifting Championships
587550,Andreas Andersson,M,SBD,Raw,,,Juniors 19-23,101.5,105,160.0,170.0,180.0,,180.0,120.0,125.0,,,125.0,220.0,230.0,-235.0,,230.0,535.0,1,323.7,323.7,310.96,456.95,Yes,,NSF,2016-03-02,Norway,,Klubbmesterskap
227497,Ben Leyland,M,SBD,Raw,,,M-C-U23,107.2,120,195.0,207.5,-217.5,,207.5,130.0,-132.5,-132.5,,130.0,250.0,277.5,290.0,,290.0,627.5,2,372.32,372.32,357.01,532.45,Yes,,EPA,2015-07-18,England,,East Midlands Masters Juniors and Novice Championships
899402,Niko Leondis,M,SBD,Wraps,27.0,24-34,Open,81.2,82.5,,,,,-265.0,,,,,,,,,,,,DQ,,,,,,,USPA,2017-03-25,USA,VA,SixKiller Open
1319845,Troy Nash,M,SBD,Wraps,48.0,45-49,M2,133.54,140,330.0,,,,330.0,187.5,200.0,-205.0,,200.0,277.5,,,,277.5,807.5,1,454.6,498.7,431.63,627.66,,USA,365Strong,2018-04-20,USA,NC,World Powerlifting Games
668979,Debra Zeitung,F,B,Raw,45.5,45-49,FR-M1b,60.6,63,,,,,,55.0,-60.0,-60.0,,55.0,,,,,,55.0,1,60.85,64.2,53.76,470.93,Yes,,USAPL,2018-02-25,USA,TX,Texas Strength Classic
1119580,Cali Mendonca,F,SBD,Single-ply,,,Girls,59.33,60.1,,,,,79.38,,,,,43.09,,,,,90.72,213.19,4,239.76,239.76,211.88,346.87,Yes,,THSWPA,2019-01-26,USA,TX,Bullard Invitational
1338081,Travis Mc Cormick,M,D,Single-ply,,,Open,117.5,117.5,,,,,,,,,,,,,,,356.0,356.0,1,205.71,205.71,196.51,695.41,Yes,,WABDL,2016-03-12,USA,OR,North American BP & DL
237870,Chris Peters,M,SBD,Raw,,,M-C-Open,111.3,120,180.0,-190.0,-190.0,,180.0,130.0,137.5,-140.0,,137.5,220.0,-235.0,-235.0,,220.0,537.5,4,315.2,315.2,301.8,433.78,Yes,,EPA,2017-01-29,England,,Manchester & Merseyside Championships
1170891,Kinsey Barnett,F,SBD,Single-ply,,,Girls,53.98,56,,,,,77.11,,,,,49.9,,,,,83.91,210.92,3,255.41,255.41,226.12,355.77,Yes,,THSWPA,2017-02-09,USA,TX,Clyde Invitational
158857,Ben Algar,M,SBD,Wraps,41.0,40-44,M_M1_CR_ABPU,116.3,125,225.0,240.0,250.0,,250.0,110.0,115.0,-120.0,,115.0,225.0,240.0,245.0,,245.0,610.0,2,353.4,356.93,337.75,490.74,Yes,UK,BPU,2018-05-11,England,,Bodypower British Championships
533725,Eleonora Toia,F,D,Raw,17.0,16-17,F-T2,73.8,80,,,,,,,,,,,90.0,100.0,110.0,,110.0,110.0,5,105.65,114.1,92.99,401.21,Yes,Italy,WDFPF,2017-06-02,Belgium,,World Single Lift Championships
230624,Jackie Blasbery,F,SBD,Raw,51.0,50-54,F-C-Open,88.6,84+,110.0,130.0,135.0,,135.0,65.0,75.0,85.0,,85.0,140.0,150.0,160.0,,160.0,380.0,2,330.54,379.12,287.72,568.94,Yes,,EPA,2015-01-25,England,,East Midlands Classic
1223290,Philippe Cotnoir,M,SBD,Raw,22.0,20-23,M-R-JR,87.1,90,200.0,210.0,220.0,,220.0,125.0,130.0,135.0,,135.0,230.0,240.0,250.0,,250.0,605.0,2,392.93,396.86,378.93,582.75,,,CPF,2018-10-13,Canada,QC,SSPBC The Fall Classic
940975,Lars Wertenbruch,M,SBD,Raw,,,Open,103.76,105,175.0,190.0,-200.0,,190.0,140.0,155.0,-160.0,,155.0,175.0,190.0,202.5,,202.5,547.5,28,328.55,328.55,315.39,463.11,,,Germany-UA,2018-11-09,Germany,NW,Insanity Meet
747505,Hunter Hicks,M,SBD,Single-ply,16.5,16-17,M-V,65.0,67.5,222.5,237.5,-247.5,,237.5,107.5,115.0,-122.5,,115.0,190.0,207.5,222.5,,222.5,575.0,6,457.24,493.82,444.07,569.84,Yes,,USAPL,2016-04-01,USA,,High School Nationals
240293,Damini Kavia,F,SBD,Raw,,,F-C-Open,53.0,57,102.5,107.5,,,107.5,47.5,52.5,-55.0,,52.5,115.0,122.5,127.5,,127.5,287.5,1,353.15,353.15,312.83,537.17,Yes,,EPA,2018-03-18,England,,GL Divisional
323371,Calvin Poweroy,M,SBD,Single-ply,,,Boys,116.39,124.7,,,,,174.63,,,,,97.52,,,,,195.04,467.2,8,270.61,270.61,258.62,342.48,Yes,,THSPA,2019-01-10,USA,TX,Midway Powerlifting Invitational
498790,Joel Chapa,M,SBD,Single-ply,,,Boys,,124.7+,,,,,,,,,,,,,,,,,NS,,,,,Yes,,THSPA,2019-03-09,USA,TX,Region 5 Division 1 Championships
899651,David Nix,M,SBD,Raw,49.0,45-49,Masters 45-49,98.1,100,,,,,205.0,,,,,137.5,,,,,210.0,552.5,1,338.9,377.19,325.89,485.1,Yes,USA,USPA,2018-08-11,USA,TX,Drug Tested Texas State Meet
626358,Katie Amidon,F,SBD,Raw,21.0,20-23,F_OR_AAPF,50.0,52,75.0,85.0,92.5,,92.5,52.5,57.5,60.0,,60.0,100.0,-107.5,107.5,,107.5,260.0,1,334.01,340.69,296.58,496.82,Yes,,APF,2018-07-28,USA,IL,Chicago Summer Bash 15
334119,Josh Hsu,M,SBD,Single-ply,,,Boys,113.22,124.7,,,,,163.29,,,,,65.77,,,,,163.29,392.36,20,228.96,228.96,219.07,299.89,Yes,,THSPA,2019-02-09,USA,TX,Longhorn Invitational
723755,Tessia De Mattos,F,SBD,Raw,23.5,24-34,FR-Jr,56.9,57,112.5,120.0,122.5,,122.5,57.5,62.5,65.0,,65.0,127.5,135.0,-140.0,,135.0,322.5,1,374.74,374.74,331.37,585.0,Yes,,USAPL,2017-04-29,USA,NY,SBWC Spring Classic
